Developer Responsibility,Applicable/Not applicable,Status
Developer Responsibility,Applicable,To Be Updated / Implemented
Authentication,,
Passwords must be at least 12 characters in length.,Applicable,To Be Updated / Implemented
"Passwords of at least 64 characters must be permitted, and passwords exceeding 128 characters must be denied.",Applicable,To Be Updated / Implemented
"Password complexity must be enforced, requiring a combination of lowercase letters, uppercase letters, numbers, and special characters (e.g., Abcde@#12345).",Applicable,To Be Updated / Implemented
Password change functionality must require the user's current password along with the new password.,Applicable,To Be Updated / Implemented
"Passwords submitted during account registration, login, and password change must be checked against a list of weak or commonly used passwords.",Applicable,To Be Updated / Implemented
A password strength meter must be provided to guide users during password creation.,Applicable,To Be Updated / Implemented
Old passwords must not be reused. (Last 5 passwords),Applicable,To Be Updated / Implemented
Account lockout must be enforced after no more than 5 failed login attempts to prevent unauthorized access.,Applicable,To Be Updated / Implemented
Users must be able to toggle visibility of the masked password on the login or signup form.,Applicable,Already Implemented
"Secure notifications must be sent to users after any update to their authentication details (e.g., password change, new device login, email change, account lockout, account deletion).",Applicable,To Be Updated / Implemented
"The password reset page must not include social media buttons. Reset tokens must not be leaked via referrer headers or API responses, and must be strong and unguessable.",Applicable,To Be Updated / Implemented
"MFA must be required to log in even after a password reset, for users who have MFA enabled.",Not applicable,N/A
The user must be logged out and redirected to the login page immediately after a password change or reset.,Applicable,To Be Updated / Implemented
Password reset links must expire within a maximum of 1 hour.,Applicable,To Be Updated / Implemented
Time-based OTPs must be used for two-factor authentication.,Not applicable,N/A
The application must prompt users to change their password after 90 days.,Applicable,To Be Updated / Implemented
OTP validation must be performed strictly on the server side. Client-side response values must never be trusted to determine OTP success or failure.,Applicable,Already Implemented
The MFA/TOTP secret key must not be exposed in API responses before the user successfully completes MFA verification.,Not applicable,N/A
Biometric authentication must be implemented so it cannot be bypassed via a fallback PIN or password without re-authentication at the application level.,Not applicable,N/A
Email verification must be enforced before granting a newly registered user full access to the application.,Applicable,To Be Updated / Implemented
Account activation must not be achievable through the password reset flow.,Applicable,To Be Updated / Implemented
"MPIN and PIN reuse must be prevented across recent entries, consistent with password history enforcement.",Not applicable,N/A
"All authentication decisions (OTP match, MFA success, login result) must be determined server-side only. Client-supplied status or role fields in responses must never be trusted.",Not applicable,N/A
OTPs must be invalidated immediately after successful use and must not be accepted a second time.,Applicable,To Be Updated / Implemented
OTP submission attempts must be limited to a maximum of 5 before triggering a lockout or requiring a new OTP.,Applicable,To Be Updated / Implemented
"Login, registration, and password reset endpoints must return identical responses regardless of whether an account exists, to prevent username and account enumeration.",Applicable,To Be Updated / Implemented
"OAuth 2.0 authorization code flows must use PKCE (code_challenge and code_verifier) for all client types, including SPAs and mobile clients. Flows without PKCE must not be accepted.",Not applicable,N/A
"The OAuth state parameter must be generated with sufficient entropy, stored in the session, and validated on callback to prevent CSRF on OAuth flows.",Not applicable,N/A
OAuth redirect URIs must be strictly allowlisted server-side. Dynamic or partial matching of redirect URIs is not permitted.,Not applicable,N/A
Session Management,,
"Session tokens must never be exposed in URL parameters to prevent leakage via logs, referrers, and browser history.",Applicable,Already Implemented
A new session token must be generated upon each successful authentication to prevent session fixation.,Applicable,To Be Updated / Implemented
Session tokens must contain at least 64 bits of entropy to resist prediction and brute-force attacks.,Applicable,To Be Updated / Implemented
Session tokens must be generated using approved cryptographic algorithms.,Applicable,To Be Updated / Implemented
Active sessions must be automatically invalidated after a maximum of 30 minutes of user inactivity.,Applicable,To Be Updated / Implemented
Users must be able to explicitly terminate their active session through a logout feature.,Applicable,To Be Updated / Implemented
Server-side session identifiers must be fully invalidated when a user logs out.,Applicable,To Be Updated / Implemented
"Cookie-based session tokens must include the Secure, HttpOnly, and SameSite (lax or strict) attributes.",Applicable,To Be Updated / Implemented
"Stateless session tokens must be protected using digital signatures or encryption (e.g., JWT must be signed with a strong algorithm).",Applicable,Already Implemented
Full user re-authentication must be required for sensitive operations such as changing passwords or performing privileged actions.,Applicable,Already Implemented
Concurrent active sessions from multiple devices must be restricted or limited for sensitive and administrative accounts.,Applicable,To Be Updated / Implemented
