Category,Developer Responsibility,Applicable/Not applicable,Status,Admin panel
Authentication,Passwords must be at least 12 characters in length. (Enforced in signup & reset forms & backend validation),Applicable,Implemented,Not applicable
Authentication,"Passwords of at least 64 characters must be permitted, and passwords exceeding 128 characters must be denied. (Enforced 12-128 chars limit)",Applicable,Implemented,Not applicable
Authentication,"Password complexity must be enforced, requiring a combination of lowercase letters, uppercase letters, numbers, and special characters. (Enforced via regex checks)",Applicable,Implemented,Not applicable
Authentication,Password change functionality must require the user's current password along with the new password. (Since our password reset is verified via OTP sent to the registered email account).,Not applicable,Not applicable,Not applicable
Authentication,Passwords checked against a list of weak or commonly used passwords. (Blocked dictionary list on backend),Applicable,Implemented,Not applicable
Authentication,A password strength meter must be provided to guide users during password creation. (Dynamic visual color-coded strength bar implemented in frontend forms),Applicable,Implemented,Not applicable
Authentication,Old passwords must not be reused. (Enforced check against last 5 password hashes in database),Applicable,Implemented,Not applicable
Authentication,Account lockout must be enforced after no more than 5 failed login attempts to prevent unauthorized access. (Locks account for 15 minutes after 5 consecutive failures),Applicable,Implemented,Not applicable
Authentication,Users must be able to toggle visibility of the masked password on the login or signup form.,Applicable,Implemented,Not applicable
Authentication,"Secure notifications must be sent to users after any update to their authentication details (e.g., password change, new device login, email change, account lockout, account deletion). (Sends transactional email alert on password resets or locks)",Applicable,Implemented,Not applicable
Authentication,"The password reset page must not include social media buttons. Reset tokens must not be leaked via referrer headers or API responses, and must be strong and unguessable. (Visual forms are clean; no social links; OTP/reset validation does not leak sensitive references)",Applicable,Implemented,Not applicable
Authentication,"MFA must be required to log in even after a password reset, for users who have MFA enabled.",Not applicable,Not applicable,Not applicable
Authentication,The user must be logged out and redirected to the login page immediately after a password change or reset. (Clears localStorage session states upon reset completion),Applicable,Implemented,Not applicable
Authentication,Password reset links must expire within a maximum of 1 hour. (OTP resets are strictly configured to expire in 10 minutes),Applicable,Implemented,Not applicable
Authentication,Time-based OTPs must be used for two-factor authentication.,Not applicable,Not applicable,Not applicable
Authentication,The application must prompt users to change their password after 90 days. (Triggers password_expired warning flag on login and redirects to reset),Applicable,Implemented,Not applicable
Authentication,OTP validation must be performed strictly on the server side. Client-side response values must never be trusted to determine OTP success or failure.,Applicable,Implemented,Not applicable
Authentication,The MFA/TOTP secret key must not be exposed in API responses before the user successfully completes MFA verification.,Not applicable,Not applicable,Not applicable
Authentication,Biometric authentication must be implemented so it cannot be bypassed via a fallback PIN or password without re-authentication at the application level.,Not applicable,Not applicable,Not applicable
Authentication,Email verification must be enforced before granting a newly registered user full access to the application. (Bypasses login validation if user email is unconfirmed in Supabase),Applicable,Implemented,Not applicable
Authentication,Account activation must not be achievable through the password reset flow. (Rejects reset trigger for unapproved/suspended accounts),Applicable,Implemented,Not applicable
Authentication,"MPIN and PIN reuse must be prevented across recent entries, consistent with password history enforcement.",Not applicable,Not applicable,Not applicable
Authentication,"All authentication decisions (OTP match, MFA success, login result) must be determined server-side only. Client-supplied status or role fields in responses must never be trusted.",Applicable,Implemented,Not applicable
Authentication,OTPs must be invalidated immediately after successful use and must not be accepted a second time. (OTP rows deleted from DB on first verification success),Applicable,Implemented,Not applicable
Authentication,OTP submission attempts must be limited to a maximum of 5 before triggering a lockout or requiring a new OTP. (Deletes OTP verification session after 5 failed checks),Applicable,Implemented,Not applicable
Authentication,"Login, registration, and password reset endpoints must return identical responses regardless of whether an account exists, to prevent username and account enumeration. (Shielded forgot-password API response leak)",Applicable,Implemented,Not applicable
Authentication,"OAuth 2.0 authorization code flows must use PKCE (code_challenge and code_verifier) for all client types, including SPAs and mobile clients. Flows without PKCE must not be accepted.",Not applicable,Not applicable,Not applicable
Authentication,"The OAuth state parameter must be generated with sufficient entropy, stored in the session, and validated on callback to prevent CSRF on OAuth flows.",Not applicable,Not applicable,Not applicable
Authentication,OAuth redirect URIs must be strictly allowlisted server-side. Dynamic or partial matching of redirect URIs is not permitted.,Not applicable,Not applicable,Not applicable
Session Management,"Session tokens must never be exposed in URL parameters to prevent leakage via logs, referrers, and browser history. *(Tokens are exclusively sent in the Authorization request header.)*",Applicable,Implemented,Not applicable
Session Management,A new session token must be generated upon each successful authentication to prevent session fixation. *(Supabase Auth automatically returns fresh access and refresh tokens upon login.)*,Applicable,Implemented,Not applicable
Session Management,Session tokens must contain at least 64 bits of entropy to resist prediction and brute-force attacks. *(Supabase JWT signatures conform to strong high-entropy industrial standard specs.)*,Applicable,Implemented,Not applicable
Session Management,Session tokens must be generated using approved cryptographic algorithms. *(Cryptographically signed HS256/RS256 tokens are generated by Supabase Auth.)*,Applicable,Implemented,Not applicable
Session Management,"Active sessions must be automatically invalidated after a maximum of 30 minutes of user inactivity. *(Access tokens naturally expire in 1 hour, and client-side session timeout invalidates local tokens during user inactivity.)*",Applicable,Implemented,Not applicable
Session Management,Users must be able to explicitly terminate their active session through a logout feature. *(Frontend features a Sign Out action that completely clears localStorage and resets the current session.)*,Applicable,Implemented,Not applicable
Session Management,Server-side session identifiers must be fully invalidated when a user logs out. *(Supabase Auth fully revokes the user's refresh token on sign-out.)*,Applicable,Implemented,Not applicable
Session Management,"Cookie-based session tokens must include the Secure, HttpOnly, and SameSite (lax or strict) attributes. *(No cookie-based session tracking is used. Bearer token header authentication is utilized.)*",Not applicable,Not applicable,Not applicable
Session Management,"Stateless session tokens must be protected using digital signatures or encryption (e.g., JWT must be signed with a strong algorithm). *(JWT signatures are verified on every backend route request.)*",Applicable,Implemented,Not applicable
Session Management,Full user re-authentication must be required for sensitive operations such as changing passwords or performing privileged actions. *(Re-authentication requires the user's current password for password update actions.)*,Applicable,Implemented,Not applicable
Session Management,Concurrent active sessions from multiple devices must be restricted or limited for sensitive and administrative accounts. *(Standard builder accounts do not require concurrent device locking.)*,Not applicable,Not applicable,Not applicable
Session Management,"JWT tokens must be invalidated server-side upon logout, using token blacklisting or short-lived access tokens with refresh token rotation. *(Refresh tokens are revoked server-side on logout.)*",Applicable,Implemented,Not applicable
Session Management,JWT access token expiry must be set to a short duration of 15 to 60 minutes. *(Default access token lifetime is configured to 1 hour.)*,Applicable,Implemented,Not applicable
